Type,Function,Mode,Series,X,Time_ns
u32,branchlut2,admixture,5x6,20,2.908594
u32,countlut,admixture,5x6,20,3.067494
u32,fmt,admixture,5x6,20,3.341724
u32,jeaiii,admixture,5x6,20,2.188753
u32,naive,admixture,5x6,20,6.222389
u32,null,admixture,5x6,20,0.758434
u32,sse2,admixture,5x6,20,2.951765
u32,tmueller,admixture,5x6,20,2.238022
u32,unrolledlut,admixture,5x6,20,2.574334
u32,yy,admixture,5x6,20,1.296039
u32,zmij_scalar,admixture,5x6,20,2.202128
u32,zmij_x64_native,admixture,5x6,20,1.225742
u32,zmij_x64_v1,admixture,5x6,20,1.849740
u32,zmij_x64_v2,admixture,5x6,20,1.251719
u32,zmij_x64_v3,admixture,5x6,20,1.249970
u32,zmij_x64_v4,admixture,5x6,20,1.271490
u32,amartin,admixture,5x6,30,1.329034
u32,branchlut,admixture,5x6,30,3.415233
u32,branchlut2,admixture,5x6,30,3.459701
u32,countlut,admixture,5x6,30,3.620327
u32,fmt,admixture,5x6,30,3.990820
u32,jeaiii,admixture,5x6,30,2.668420
u32,naive,admixture,5x6,30,6.777944
u32,null,admixture,5x6,30,0.785909
u32,sse2,admixture,5x6,30,3.375987
u32,tmueller,admixture,5x6,30,2.790484
u32,unrolledlut,admixture,5x6,30,3.084119
u32,yy,admixture,5x6,30,1.279958
u32,zmij_scalar,admixture,5x6,30,2.211293
u32,zmij_x64_native,admixture,5x6,30,1.230536
u32,zmij_x64_v1,admixture,5x6,30,1.852206
u32,zmij_x64_v2,admixture,5x6,30,1.260770
u32,zmij_x64_v3,admixture,5x6,30,1.270711
u32,zmij_x64_v4,admixture,5x6,30,1.242909
u32,amartin,admixture,5x6,40,1.336553
u32,branchlut,admixture,5x6,40,3.829808
u32,branchlut2,admixture,5x6,40,4.046718
u32,countlut,admixture,5x6,40,4.328412
u32,fmt,admixture,5x6,40,4.671041
u32,jeaiii,admixture,5x6,40,3.401830
u32,naive,admixture,5x6,40,7.529697
u32,null,admixture,5x6,40,0.924026
u32,sse2,admixture,5x6,40,3.846349
u32,tmueller,admixture,5x6,40,3.500072
u32,unrolledlut,admixture,5x6,40,3.824030
u32,yy,admixture,5x6,40,1.285411
u32,zmij_scalar,admixture,5x6,40,2.208895
u32,zmij_x64_native,admixture,5x6,40,1.247852
